"Type","Name","FullName","RelativePath","Parent","Extension","SizeBytes","Attributes","CreationTimeUtc","LastWriteTimeUtc","HashSHA256"
"Directory","IP Law","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","IP Law","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library","","0","525328","9/11/2023 6:18:20 PM","9/13/2025 1:37:55 AM",""
"Directory","Advanced Copyright Law - Current Issues","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues","IP Law\Advanced Copyright Law - Current Issues","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","","0","525328","10/16/2023 7:43:45 AM","10/16/2023 7:43:45 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023","IP Law\Advanced Copyright Law - Current Issues\2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues","","0","525328","10/16/2023 7:43:58 AM","10/16/2023 7:43:58 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023\Sections","IP Law\Advanced Copyright Law - Current Issues\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues\2023","","0","525328","10/16/2023 7:44:06 AM","10/16/2023 7:44:06 AM",""
"Directory","Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","","0","525328","9/11/2023 6:18:20 PM","9/11/2023 6:18:20 PM",""
"Directory","2021","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","","0","525328","9/11/2023 6:18:20 PM","9/11/2023 6:18:20 PM",""
"Directory","Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","","0","525328","9/11/2023 6:18:20 PM","9/11/2023 6:18:20 PM",""
"Directory","Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","","0","525328","10/16/2023 7:36:52 AM","10/16/2023 7:36:52 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","","0","525328","10/16/2023 7:37:09 AM","10/16/2023 7:37:09 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","","0","525328","10/16/2023 7:37:16 AM","10/16/2023 7:37:16 AM",""
