"Type","OldFullName","NewFullName"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash","C:\Users\WorkstationAdmin\iCloudDrive\Trash"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Python 3","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Python 3"
"File","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Assassination-of-Charlie-Kirk-1.mp4","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Assassination-of-Charlie-Kirk-1.mp4"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Gas Chromatography  Analysis of a Hydrocarbon Mixture Pre-lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Gas Chromatography Analysis of a Hydrocarbon Mixture Pre-lab.docx"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Sodium Borohydride Reduction-  The Conversion of Benzophenone to Diphenylmethanol Lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Sodium Borohydride Reduction- The Conversion of Benzophenone~38093dd0"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Sodium Borohydride Reduction-  The Conversion of Benzophenone to Diphenylmethanol Pre-lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\Sodium Borohydride Reduction- The Conversion of Benzophenone~2a2f8773"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Fractional Distillation of  a Binary Mixture Lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Fractional Distillation of a Binary Mixture Lab.docx"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Jones Reaction  The Oxidation of Borneol to Camphor Lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Jones Reaction The Oxidation of Borneol to Camphor Lab.docx"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Jones Reaction  The Oxidation of Borneol to Camphor Pre-lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Jones Reaction The Oxidation of Borneol to Camphor Pre-lab.docx"
"File","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Synthesis of Alkenes  The Dehydration of Cyclohexanol lab.docx","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Coursework\University of Pittsburgh\Organic Chemistry Lab 1\The Synthesis of Alkenes The Dehydration of Cyclohexanol lab.docx"
