"Type","OldFullName","NewFullName"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash","C:\Users\WorkstationAdmin\iCloudDrive\Trash"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Trash","C:\Users\WorkstationAdmin\iCloudDrive\Trash-c83563"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.git","C:\Users\WorkstationAdmin\iCloudDrive\Trash\git"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.libs","C:\Users\WorkstationAdmin\iCloudDrive\Trash\libs"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\.vscode","C:\Users\WorkstationAdmin\iCloudDrive\Trash\vscode"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Amendment and Prosectuion Review — How It All Fits Together","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Amendment and Prosectuion Review — How It All Fits Together"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Burton, Schrom et al. (2014)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Burton, Schrom et al. (2014)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Disclosure Materials from REGN","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Disclosure Materials from REGN"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Edited Disclosure Materials","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Edited Disclosure Materials"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Emails","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Emails"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Examining Intel's New Speed Shift Tech on Skylake_ More Responsive Processors_files","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Examining Intel's New Speed Shift Tech on Skylake_ More Resp~aef6ad9c"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Family to Family Citations","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Family to Family Citations"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\FFA Measurement Paper","C:\Users\WorkstationAdmin\iCloudDrive\Trash\FFA Measurement Paper"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\fsmonitor--daemon","C:\Users\WorkstationAdmin\iCloudDrive\Trash\fsmonitor--daemon"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\generated-sources","C:\Users\WorkstationAdmin\iCloudDrive\Trash\generated-sources"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Goodman, J. (2009)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Goodman, J. (2009)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Gradle","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Gradle"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Hitchcock, R. (2011)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Hitchcock, R. (2011)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Introducing 6th Generation Intel® Core™, Intel's Best Processor Ever _ Intel Newsroom_files","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Introducing 6th Generation Intel® Core™, Intel's Best Proces~fb11c8de"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\Krishnamurthy, H. K., et al. (2014)","C:\Users\WorkstationAdmin\iCloudDrive\Trash\Krishnamurthy, H. K., et al. (2014)"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\.Trash\M.P.E.P. Chapter 1000 — Matters Decided by Various Patent and Trademark Office Officials","C:\Users\WorkstationAdmin\iCloudDrive\Trash\M.P.E.P. Chapter 1000 — Matters Decided by Various Patent an~e2ba5d21"
