"Type","OldFullName","NewFullName","NewFullNameLen","WithinLimit"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law","62","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Life Sciences","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Life Sciences","69","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Mathematics","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Mathematics","67","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Philosophy","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Philosophy","66","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Physical Sciences","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Physical Sciences","73","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Programming","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\Programming","67","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Copyright Law - Current Issues","102","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","136","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","140","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Advanced Trademark Law - Current Issues","102","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\An International Guide to Patent Case Management for Judges","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\An International Guide to Patent Case Management for Judges","122","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Certificates of Completion","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Certificates of Completion","89","True"
"Directory","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Examples","C:\Users\WorkstationAdmin\iCloudDrive\Documents\Library\IP Law\Examples","71","True"
