"Type","Name","FullName","RelativePath","Parent","Extension","SizeBytes","Attributes","CreationTimeUtc","LastWriteTimeUtc","HashSHA256"
"Directory","Advanced Copyright Law - Current Issues","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Copyright Law - Current Issues","Advanced Copyright Law - Current Issues","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Copyright Law - Current Issues\2023","Advanced Copyright Law - Current Issues\2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Copyright Law - Current Issues","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Copyright Law - Current Issues\2023\Sections","Advanced Copyright Law - Current Issues\2023\Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Copyright Law - Current Issues\2023","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 12:13:58 PM",""
"Directory","Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","2021","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 12:18:28 PM",""
"Directory","Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021\Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Patent Prosecution Workshop - Claim Drafting & Amendment Writing\2021","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 11:49:34 AM",""
"Directory","Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023\Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trade Secrets - New Challenges, New Solutions, and New Opportunities\2023","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 12:07:58 PM",""
"Directory","Advanced Trademark Law - Current Issues","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trademark Law - Current Issues","Advanced Trademark Law - Current Issues","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trademark Law - Current Issues\2023","Advanced Trademark Law - Current Issues\2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trademark Law - Current Issues","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trademark Law - Current Issues\2023\Sections","Advanced Trademark Law - Current Issues\2023\Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Advanced Trademark Law - Current Issues\2023","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 12:19:24 PM",""
"Directory","An International Guide to Patent Case Management for Judges","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\An International Guide to Patent Case Management for Judges","An International Guide to Patent Case Management for Judges","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 10:08:08 AM",""
"Directory","Artificial Intelligence Law","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Artificial Intelligence Law","Artificial Intelligence Law","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Artificial Intelligence Law\2023","Artificial Intelligence Law\2023","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Artificial Intelligence Law","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 9:47:55 AM",""
"Directory","Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Artificial Intelligence Law\2023\Sections","Artificial Intelligence Law\2023\Sections","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Artificial Intelligence Law\2023","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 11:31:05 AM",""
"Directory","Certificates of Completion","C:\Users\WorkstationAdmin\OneDrive\Documents\Library\Certificates of Completion","Certificates of Completion","C:\Users\WorkstationAdmin\OneDrive\Documents\Library","","0","525328","9/8/2025 9:47:55 AM","9/8/2025 10:08:07 AM",""
